name,campaign,date,youtube_id,instagram_id,facebook_id,tiktok,instagram,facebook
A Conspiracy,,,qBj09KLuVNQ,,,,,
New Style! Nature Documentary Cinematic Style,,,SzLe9mqd2Zw,,,,,
Cinematic Prompts App - prompts for AI image and video generation,,,FHLJWV-kaqg,,,,,
Cinematic Prompts App on AppStore - New Cinematic Style: History - Coming soon!,,,VD4t-c5gjig,,,,,
Cinematic Prompts App on AppStore - New Cinematic Style: Nature - Coming soon!,,,LKi1Lap-haM,,,,,
The Hot Coffee - a short  film done with the Cinematic Prompts App,,,mBjwH0p2zV8,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Cinematic AI Video and Image Prompts App - Professional Results,,2026-01-17,IJJE98wbBC4,,,,,
Cinematic Prompts App - Prompt Generator,,2026-01-21,IXrDq05Kyzg,,,,,
Cinematic Prompts - AppStore,,2026-01-24,rRm-wx4zoms,,,,,
Cinematic AI with these Prompts - Cinematic Prompts App,,2026-01-30,o9_eCJLMNps,,,,,
Cinematic Prompts - Prompt Generator App,,2026-02-06,igmoj49QFNY,,,,,
Cinematic Video and Image Prompt Generator App,,2026-02-18,TpGBYJ96nYY,,,,,
Ai Prompt Generator App - Cinematic Styles,,2026-02-20,pFEp5MCfvLE,,,,,
The Car Chase - prompts by the Cinematic Prompts App,,2026-02-21,JVqpVSmgLKc,,,,,
Revenge - prompts generated by the Cinematic Prompts App,,2026-02-23,sQUKDPxZ9xQ,,,,,
The Ride - prompts generated by the Cinematic Prompts App,,2026-02-26,1yXezC3atRU,,,,,
The City - prompts generated by the Cinematic Prompts App,,2026-02-28,HABrmx4Eq5M,,,,,
The Crime - prompts generated by the Cinematic Prompts App,,2026-03-06,DGJfDBl_xt8,,,,,
The Cinematic Prompts App  - Camera Movements added!,,2026-03-13,JjdBCLYccvg,,,,,
The Agents - prompts generated by the Cinematic Prompts App,,2026-03-14,Ml3bKIs4WS4,,,,,
The Letter - prompts generated by the Cinematic Prompts App,,2026-03-27,JzyXSTBuwwY,,,,,
The System Failure - prompts generated by the Cinematic Prompts App,,2026-04-03,vFC-Gdm5ZmM,,,,,
The Loop - prompts generated by the Cinematic Prompts App,,2026-04-17,5De8N1eW9nI,,,,,
The Woman Loop - prompts generated by the Cinematic Prompts App video,,2026-04-24,KwzRdkGBRVM,,,,,
The Train Station - created with the Cinematic Prompts App,,2026-05-03,EV2s5772RCM,,,,,
Stop Wasting AI Credits — Cinematic Prompts App (Free on App Store),,2026-06-13,EPRFhTyEKG0,17950459961996233,1217733481415489_122109954945344582,,,
Private video,,2026-01-24,O26qTH7znkg,,,,,
Private video,,2026-02-06,-sbOkTVVrag,,,,,
AI Nature Documentary Style — Cinematic Prompts App (Canadian North),,2026-06-14,LqFre0Emaus,17957779181965848,1217733481415489_122110201965344582,,,
"Revenge, A Short Movie - prompts generat",,2026-06-13,,18090051698525245,1217733481415489_122109927249344582,,,
The Car Chase - prompts generated by the,,2026-06-13,,,1217733481415489_122109891225344582,,,
The Letter - prompts generated by the Ci,,2026-06-13,,,1217733481415489_122109889269344582,,,
If you use AI video or image tools — Kli,,2026-06-13,,,1217733481415489_122109835191344582,,,
Same AI Scene: Golden Hour vs Blue Hour vs Harsh Noon,,2026-06-16,,18008836523734506,,,272,
Without vs With a Cinematic Prompt,,2026-06-20,,,,,301,
AI Nature Documentary — West Coast Wildlife,,2026-06-21,,18117640582871401,,,717,
Amateur to Hollywood in 1 click,,2026-05-09,,,,1987,,
The Conspiracy,,2026-02-21,,,,1030,,
No studio. No photographer. No shoot.,,2026-07-20,,,,859,,
This is your AI video without a cinematic prompt,,2026-06-20,,,,845,,
An envelope. A stairwell. Nobody says a word.,,2026-07-03,,,,830,,
Stop regenerating just to fix your lighting,,2026-07-01,,,,821,,
Nature Documentary Prompts for AI Image,,2026-05-31,,,,817,,
New AI prompt style! Nature Documentary,,2026-06-01,,,,807,,
Broken glass. A gunshot. A boss who doesn't blink.,,2026-06-26,,,,801,,
The Escape,,2026-02-23,,,,789,,
Stop letting AI pick your camera angle,,2026-07-16,,,,784,,
"A luxury Vespa ad - no camera, no crew",,2026-07-25,,,,782,,
So many looks. One app.,,2026-07-31,,,,768,,
12 Cinematic Styles 5 Lighting Styles 6 Camera Angles,,2026-07-09,,,,297,,
Generate AI Prompts with the Cinematic Prompts App,,2026-07-27,,,,291,,
Prenzlauer Berg 1986,,2026-08-09,,,,290,,
He knows every bend of this water. A hunter.,,2026-07-10,,,,279,,
Cinema-grade and marketing-grade AI prompts,,2026-08-07,,,,266,,
No safari. No plane tickets. No wildlife crew.,,2026-08-12,,,,230,,
